Date,AMZN,BA,DIS,FB,IBM,MSFT
2014-01-02,397.9700012207031,116.80795288085938,70.19249725341797,54.709999084472656,139.23544311523438,32.05732345581055
2014-01-03,396.44000244140625,117.619873046875,70.04527282714844,54.560001373291016,140.06845092773438,31.841665267944336
2014-01-06,393.6300048828125,118.29507446289062,69.77837371826172,57.20000076293945,139.58815002441406,31.168766021728516
2014-01-07,398.0299987792969,120.08987426757812,70.25692749023438,57.91999816894531,142.37240600585938,31.410314559936523
2014-01-08,401.9200134277344,120.3548355102539,69.22618865966797,58.22999954223633,141.06658935546875,30.84957504272461
2014-01-09,401.010009765625,121.47444915771484,68.93167877197266,57.220001220703125,140.6238250732422,30.651161193847656
2014-01-10,397.6600036621094,121.27786254882812,69.38263702392578,57.939998626708984,140.5337677001953,31.091123580932617
2014-01-13,390.9800109863281,120.25228118896484,67.43156433105469,55.90999984741211,138.20729064941406,30.176679611206055
2014-01-14,397.5400085449219,119.66253662109375,68.51753234863281,57.7400016784668,139.52813720703125,30.866832733154297
2014-01-15,395.8699951171875,120.18392181396484,68.36109161376953,57.599998474121094,140.89398193359375,31.712247848510742
2014-01-16,395.79998779296875,119.83345031738281,68.29666900634766,57.189998626708984,141.6594696044922,31.824413299560547
2014-01-17,399.6099853515625,120.0471420288086,68.08500671386719,56.29999923706055,142.65760803222656,31.384445190429688
2014-01-21,407.04998779296875,121.08129119873047,68.28746032714844,58.5099983215332,141.41177368164062,31.203266143798828
2014-01-22,404.5400085449219,123.38892364501953,69.30901336669922,57.5099983215332,136.7738494873047,30.996227264404297
2014-01-23,399.8699951171875,120.77360534667969,68.83045196533203,56.630001068115234,137.13409423828125,31.108379364013672
2014-01-24,387.6000061035156,116.79083251953125,66.92539978027344,54.45000076293945,134.8151397705078,31.755395889282227
2014-01-27,386.2799987792969,117.39767456054688,66.49285125732422,53.54999923706055,133.5093231201172,31.082494735717773
2014-01-28,394.42999267578125,117.1668930053711,67.07264709472656,55.13999938964844,132.72132873535156,31.28954315185547
2014-01-29,384.20001220703125,110.91927337646484,65.64615631103516,53.529998779296875,132.3835906982422,31.625993728637695
2014-01-30,403.010009765625,108.14156341552734,67.38556671142578,61.08000183105469,133.10406494140625,31.79853057861328
2014-01-31,358.69000244140625,107.05613708496094,66.82415771484375,62.56999969482422,132.5937042236328,32.643951416015625
2014-02-03,346.1499938964844,105.19295501708984,64.41293334960938,61.47999954223633,129.75694274902344,31.47071647644043
2014-02-04,347.95001220703125,104.30410766601562,65.38847351074219,62.75,129.71194458007812,31.358558654785156
2014-02-05,346.45001220703125,103.75712585449219,66.04190063476562,62.189998626708984,130.7625732421875,30.90134048461914
2014-02-06,354.5899963378906,104.84254455566406,69.53909301757812,62.15999984741211,131.80392456054688,31.211894989013672
2014-02-07,361.0799865722656,108.56035614013672,69.64031982421875,64.31999969482422,133.75076293945312,31.539722442626953
2014-02-10,360.8699951171875,108.68001556396484,70.91956329345703,63.54999923706055,133.667724609375,31.74677276611328
2014-02-11,361.7900085449219,111.2440414428711,71.59140014648438,64.8499984741211,135.59950256347656,32.065956115722656
2014-02-12,349.25,110.126708984375,71.70183563232422,64.44999694824219,136.00701904296875,32.32476043701172
2014-02-13,357.20001220703125,111.30418395996094,71.692626953125,67.33000183105469,137.2143096923828,32.4455451965332
2014-02-14,357.3500061035156,111.87147521972656,72.91665649414062,67.08999633789062,138.6103057861328,32.454158782958984
2014-02-18,353.6499938964844,112.27542114257812,73.23876953125,67.30000305175781,138.23297119140625,32.52368927001953
2014-02-19,347.3800048828125,110.35015869140625,72.58534240722656,68.05999755859375,138.05191040039062,32.60192108154297
2014-02-20,349.79998779296875,111.35576629638672,72.87984466552734,69.62999725341797,139.04042053222656,32.81052780151367
2014-02-21,346.760009765625,110.25562286376953,73.74493408203125,68.58999633789062,137.93116760253906,33.01042556762695
2014-02-24,351.7799987792969,111.38156127929688,74.297119140625,70.77999877929688,138.42919921875,32.758365631103516
2014-02-25,358.32000732421875,108.96637725830078,73.81856536865234,69.8499984741211,138.26316833496094,32.627994537353516
2014-02-26,359.79998779296875,108.82028198242188,73.69892120361328,69.26000213623047,138.88949584960938,32.56715393066406
2014-02-27,360.1300048828125,110.49628448486328,74.06705474853516,68.94000244140625,139.80258178710938,32.90613555908203
2014-02-28,362.1000061035156,110.80569458007812,74.3707504272461,68.45999908447266,139.72706604003906,33.29726028442383
2014-03-03,359.7799987792969,110.20406341552734,73.12833404541016,67.41000366210938,139.04042053222656,32.83658981323242
2014-03-04,363.8999938964844,111.93163299560547,75.19902801513672,68.80000305175781,140.6854248046875,33.38416290283203
2014-03-05,372.3699951171875,110.69393920898438,76.09174346923828,71.56999969482422,141.21363830566406,33.123409271240234
2014-03-06,372.1600036621094,110.7541275024414,76.69916534423828,70.83999633789062,141.5908966064453,33.15818786621094
2014-03-07,372.05999755859375,110.47908020019531,75.65918731689453,69.80000305175781,141.62110900878906,32.94089126586914
2014-03-10,370.5299987792969,109.06092071533203,75.43832397460938,72.02999877929688,140.64768981933594,32.871360778808594
2014-03-11,368.82000732421875,108.01234436035156,74.59162902832031,70.0999984741211,140.9268798828125,33.045188903808594
2014-03-12,370.6400146484375,106.94657135009766,74.89533233642578,70.87999725341797,140.51942443847656,33.262474060058594
2014-03-13,371.510009765625,104.76346588134766,73.56088256835938,68.83000183105469,138.7687530517578,32.93219757080078
2014-03-14,373.739990234375,105.81205749511719,73.6897201538086,67.72000122070312,137.49349975585938,32.76707077026367
